time_s,time_min,orbit_fraction,min_distance_km,mean_distance_km,max_distance_km,availability,connected,representative_distance_km,representative_neighbor,mapping_changes
2578.55719020,42.97595317,0.45000000,244.29001649,608.53072053,880.78401946,1.00000000,1.00000000,823.55133368,47.00000000,0.00000000
2610.39122959,43.50652049,0.45555556,244.29087969,608.53072053,880.78378004,1.00000000,1.00000000,833.50882689,47.00000000,0.00000000
2642.22526897,44.03708782,0.46111111,244.29087969,608.53072053,880.78378004,1.00000000,1.00000000,842.54826276,47.00000000,0.00000000
2674.05930836,44.56765514,0.46666667,244.29001649,608.53072053,880.78401946,1.00000000,1.00000000,850.65552293,47.00000000,0.00000000
2705.89334774,45.09822246,0.47222222,244.28928609,608.53072053,880.78422204,1.00000000,1.00000000,857.81805623,47.00000000,0.00000000
2737.72738713,45.62878979,0.47777778,244.28868849,608.53072053,880.78438779,1.00000000,1.00000000,864.02485748,47.00000000,0.00000000
2769.56142651,46.15935711,0.48333333,244.28822369,608.53072053,880.78451670,1.00000000,1.00000000,869.26645069,47.00000000,0.00000000
2801.39546590,46.68992443,0.48888889,244.28789168,608.53072053,880.78460878,1.00000000,1.00000000,873.53487580,47.00000000,0.00000000
2833.22950528,47.22049175,0.49444444,244.28769248,608.53072053,880.78466403,1.00000000,1.00000000,876.82367841,47.00000000,0.00000000
2865.06354467,47.75105908,0.50000000,244.28762608,608.53072053,880.78468245,1.00000000,1.00000000,879.12790203,47.00000000,0.00000000
2896.89758405,48.28162640,0.50555556,244.28769248,608.53072053,880.78466403,1.00000000,1.00000000,880.44408248,47.00000000,0.00000000
2928.73162344,48.81219372,0.51111111,244.28789168,608.53072053,880.78460878,1.00000000,1.00000000,880.77024406,47.00000000,0.00000000
2960.56566282,49.34276105,0.51666667,244.28822369,608.53072053,880.78451670,1.00000000,1.00000000,880.10589754,47.00000000,0.00000000
2992.39970221,49.87332837,0.52222222,244.28868849,608.53072053,880.78438779,1.00000000,1.00000000,878.45203959,47.00000000,0.00000000
3024.23374159,50.40389569,0.52777778,244.28928609,608.53072053,880.78422204,1.00000000,1.00000000,875.81115385,47.00000000,0.00000000
3056.06778098,50.93446302,0.53333333,244.29001649,608.53072053,880.78401946,1.00000000,1.00000000,872.18721356,47.00000000,0.00000000
3087.90182036,51.46503034,0.53888889,244.29087969,608.53072053,880.78378004,1.00000000,1.00000000,867.58568594,47.00000000,0.00000000
3119.73585975,51.99559766,0.54444444,244.29087969,608.53072053,880.78378004,1.00000000,1.00000000,862.01353855,47.00000000,0.00000000
3151.56989913,52.52616499,0.55000000,244.29001649,608.53072053,880.78401946,1.00000000,1.00000000,855.47924778,47.00000000,0.00000000
3183.40393852,53.05673231,0.55555556,244.28928609,608.53072053,880.78422204,1.00000000,1.00000000,847.99281014,47.00000000,0.00000000
3215.23797790,53.58729963,0.56111111,244.28868849,608.53072053,880.78438779,1.00000000,1.00000000,839.56575660,47.00000000,0.00000000
3247.07201729,54.11786695,0.56666667,244.28822369,608.53072053,880.78451670,1.00000000,1.00000000,830.21117086,47.00000000,0.00000000
3278.90605667,54.64843428,0.57222222,244.28789168,608.53072053,880.78460878,1.00000000,1.00000000,819.94371217,47.00000000,0.00000000
3310.74009606,55.17900160,0.57777778,244.28769248,608.53072053,880.78466403,1.00000000,1.00000000,808.77964397,47.00000000,0.00000000
3342.57413545,55.70956892,0.58333333,244.28762608,608.53072053,880.78468245,1.00000000,1.00000000,796.73686932,47.00000000,0.00000000
3374.40817483,56.24013625,0.58888889,244.28769248,608.53072053,880.78466403,1.00000000,1.00000000,783.83497499,47.00000000,0.00000000
3406.24221422,56.77070357,0.59444444,244.28789168,608.53072053,880.78460878,1.00000000,1.00000000,770.09528586,47.00000000,0.00000000
3438.07625360,57.30127089,0.60000000,244.28822369,608.53072053,880.78451670,1.00000000,1.00000000,755.54093230,47.00000000,0.00000000
3469.91029299,57.83183822,0.60555556,244.28868849,608.53072053,880.78438779,1.00000000,1.00000000,740.19693330,47.00000000,0.00000000
3501.74433237,58.36240554,0.61111111,244.28928609,608.53072053,880.78422204,1.00000000,1.00000000,724.09029920,47.00000000,0.00000000
3533.57837176,58.89297286,0.61666667,244.29001649,608.53072053,880.78401946,1.00000000,1.00000000,707.25015859,47.00000000,0.00000000
3565.41241114,59.42354019,0.62222222,244.29087969,608.53072053,880.78378004,1.00000000,1.00000000,689.70791535,47.00000000,0.00000000
3597.24645053,59.95410751,0.62777778,244.29087969,608.53072053,880.78378004,1.00000000,1.00000000,671.49744312,47.00000000,0.00000000
3629.08048991,60.48467483,0.63333333,244.29001649,608.53072053,880.78401946,1.00000000,1.00000000,652.65532652,47.00000000,0.00000000
3660.91452930,61.01524215,0.63888889,244.28928609,608.53072053,880.78422204,1.00000000,1.00000000,633.22116121,47.00000000,0.00000000
3692.74856868,61.54580948,0.64444444,244.28868849,608.53072053,880.78438779,1.00000000,1.00000000,613.23792761,47.00000000,0.00000000
3724.58260807,62.07637680,0.65000000,244.28822369,608.53072053,880.78451670,1.00000000,1.00000000,592.75245799,47.00000000,0.00000000
3756.41664745,62.60694412,0.65555556,244.28789168,608.53072053,880.78460878,1.00000000,1.00000000,571.81602149,47.00000000,0.00000000
3788.25068684,63.13751145,0.66111111,244.28769248,608.53072053,880.78466403,1.00000000,1.00000000,550.48505886,47.00000000,0.00000000
3820.08472622,63.66807877,0.66666667,244.28762608,608.53072053,880.78468245,1.00000000,1.00000000,528.82210748,47.00000000,0.00000000
3851.91876561,64.19864609,0.67222222,244.28769248,608.53072053,880.78466403,1.00000000,1.00000000,506.89696802,47.00000000,0.00000000
3883.75280499,64.72921342,0.67777778,244.28789168,608.53072053,880.78460878,1.00000000,1.00000000,484.78817747,47.00000000,0.00000000
3915.58684438,65.25978074,0.68333333,244.28822369,608.53072053,880.78451670,1.00000000,1.00000000,462.58486793,47.00000000,0.00000000
3947.42088376,65.79034806,0.68888889,244.28868849,608.53072053,880.78438779,1.00000000,1.00000000,440.38910608,47.00000000,0.00000000
3979.25492315,66.32091539,0.69444444,244.28928609,608.53072053,880.78422204,1.00000000,1.00000000,418.31881948,47.00000000,0.00000000
