M,N,total_satellites,inclination,phase_factor,space_time_coverage_ratio,full_region_coverage_ratio,worst_instantaneous_ratio,minimum_point_coverage_ratio,average_multiplicity,maximum_gap_minutes,feasible
32,64,2048,54.0,16,0.9992690972222222,0.5125,0.99625,0.9777777777777777,3.9991180555555554,4.0,False
32,64,2048,54.5,4,0.9993819444444444,0.5097222222222222,0.9975,0.9805555555555555,3.922588541666667,2.0,False
32,64,2048,57.0,14,0.998796875,0.5097222222222222,0.99375,0.9611111111111111,3.514345486111111,4.0,False
32,64,2048,58.0,14,0.9987586805555555,0.5041666666666667,0.99375,0.9805555555555555,3.389064236111111,2.0,False
32,64,2048,55.0,4,0.9993159722222222,0.5027777777777778,0.9975,0.9791666666666666,3.833279513888889,2.0,False
32,64,2048,54.5,15,0.9992743055555555,0.5027777777777778,0.99625,0.9791666666666666,3.9229045138888887,2.0,False
32,64,2048,57.5,8,0.9992065972222223,0.4986111111111111,0.99625,0.9791666666666666,3.4467916666666665,4.0,False
32,64,2048,54.5,1,0.9984270833333333,0.49722222222222223,0.99375,0.9555555555555556,3.922923611111111,2.0,False
32,64,2048,54.5,31,0.998328125,0.49166666666666664,0.9925,0.9527777777777777,3.9226770833333333,4.0,False
32,64,2048,55.0,21,0.9993263888888889,0.4861111111111111,0.9975,0.9722222222222222,3.833439236111111,4.0,False
32,64,2048,58.0,4,0.9990989583333333,0.4847222222222222,0.995,0.9847222222222223,3.3891927083333333,2.0,False
32,64,2048,54.5,26,0.9993055555555556,0.48055555555555557,0.9975,0.975,3.9227447916666667,2.0,False
32,64,2048,55.0,15,0.9991354166666667,0.48055555555555557,0.99625,0.9819444444444444,3.833265625,4.0,False
32,64,2048,55.0,30,0.9989913194444444,0.48055555555555557,0.995,0.9777777777777777,3.8332447916666665,2.0,False
32,64,2048,55.0,11,0.99921875,0.4777777777777778,0.99625,0.9694444444444444,3.832904513888889,4.0,False
32,64,2048,55.0,13,0.9990989583333333,0.475,0.995,0.9777777777777777,3.8334722222222224,4.0,False
32,64,2048,55.0,6,0.9991736111111111,0.46944444444444444,0.99625,0.975,3.8333333333333335,2.0,False
32,64,2048,54.0,8,0.9992621527777777,0.46805555555555556,0.9975,0.9722222222222222,3.999329861111111,2.0,False
32,64,2048,54.0,6,0.9992916666666667,0.4638888888888889,0.9975,0.9791666666666666,3.999421875,2.0,False
32,64,2048,55.0,28,0.9992899305555556,0.4513888888888889,0.9975,0.9763888888888889,3.833217013888889,2.0,False
32,64,2048,58.0,26,0.9990017361111111,0.45,0.995,0.9847222222222223,3.388920138888889,2.0,False
32,64,2048,58.0,30,0.9991614583333334,0.44722222222222224,0.9975,0.9791666666666666,3.389095486111111,2.0,False
32,64,2048,54.5,8,0.9991006944444445,0.44583333333333336,0.9975,0.975,3.9230677083333334,2.0,False
32,64,2048,54.5,7,0.9992065972222223,0.44583333333333336,0.9975,0.9736111111111111,3.9228229166666666,6.0,False
32,64,2048,57.5,26,0.999125,0.44583333333333336,0.995,0.9805555555555555,3.446907986111111,4.0,False
