satellite_id,plane_id,slot_id,critical_space_time_cells,space_time_coverage_after_failure,full_region_time_coverage_after_failure,minimum_point_time_coverage_after_failure,worst_instantaneous_area_coverage_after_failure,maximum_full_region_outage_minutes,pass_full_region_99,pass_minimum_point_99,pass_both_99
205,4,13,0,1.0,1.0,1.0,1.0,0.0,True,True,True
206,4,14,0,1.0,1.0,1.0,1.0,0.0,True,True,True
207,4,15,0,1.0,1.0,1.0,1.0,0.0,True,True,True
208,4,16,0,1.0,1.0,1.0,1.0,0.0,True,True,True
209,4,17,1,0.9999950910486505,0.9965277777777778,0.9965277777777778,0.9985862219473347,5.0,True,True,True
210,4,18,0,1.0,1.0,1.0,1.0,0.0,True,True,True
211,4,19,0,1.0,1.0,1.0,1.0,0.0,True,True,True
212,4,20,0,1.0,1.0,1.0,1.0,0.0,True,True,True
213,4,21,0,1.0,1.0,1.0,1.0,0.0,True,True,True
214,4,22,0,1.0,1.0,1.0,1.0,0.0,True,True,True
215,4,23,0,1.0,1.0,1.0,1.0,0.0,True,True,True
216,4,24,0,1.0,1.0,1.0,1.0,0.0,True,True,True
217,4,25,0,1.0,1.0,1.0,1.0,0.0,True,True,True
218,4,26,0,1.0,1.0,1.0,1.0,0.0,True,True,True
219,4,27,0,1.0,1.0,1.0,1.0,0.0,True,True,True
220,4,28,0,1.0,1.0,1.0,1.0,0.0,True,True,True
221,4,29,0,1.0,1.0,1.0,1.0,0.0,True,True,True
222,4,30,0,1.0,1.0,1.0,1.0,0.0,True,True,True
223,4,31,0,1.0,1.0,1.0,1.0,0.0,True,True,True
224,4,32,0,1.0,1.0,1.0,1.0,0.0,True,True,True
225,4,33,0,1.0,1.0,1.0,1.0,0.0,True,True,True
226,4,34,0,1.0,1.0,1.0,1.0,0.0,True,True,True
227,4,35,0,1.0,1.0,1.0,1.0,0.0,True,True,True
228,4,36,0,1.0,1.0,1.0,1.0,0.0,True,True,True
229,4,37,0,1.0,1.0,1.0,1.0,0.0,True,True,True
230,4,38,0,1.0,1.0,1.0,1.0,0.0,True,True,True
231,4,39,0,1.0,1.0,1.0,1.0,0.0,True,True,True
232,4,40,0,1.0,1.0,1.0,1.0,0.0,True,True,True
233,4,41,0,1.0,1.0,1.0,1.0,0.0,True,True,True
234,4,42,0,1.0,1.0,1.0,1.0,0.0,True,True,True
235,4,43,0,1.0,1.0,1.0,1.0,0.0,True,True,True
236,4,44,0,1.0,1.0,1.0,1.0,0.0,True,True,True
237,4,45,0,1.0,1.0,1.0,1.0,0.0,True,True,True
238,4,46,0,1.0,1.0,1.0,1.0,0.0,True,True,True
239,4,47,0,1.0,1.0,1.0,1.0,0.0,True,True,True
240,5,0,0,1.0,1.0,1.0,1.0,0.0,True,True,True
241,5,1,0,1.0,1.0,1.0,1.0,0.0,True,True,True
242,5,2,0,1.0,1.0,1.0,1.0,0.0,True,True,True
243,5,3,0,1.0,1.0,1.0,1.0,0.0,True,True,True
244,5,4,0,1.0,1.0,1.0,1.0,0.0,True,True,True
245,5,5,0,1.0,1.0,1.0,1.0,0.0,True,True,True
246,5,6,0,1.0,1.0,1.0,1.0,0.0,True,True,True
247,5,7,0,1.0,1.0,1.0,1.0,0.0,True,True,True
248,5,8,0,1.0,1.0,1.0,1.0,0.0,True,True,True
249,5,9,0,1.0,1.0,1.0,1.0,0.0,True,True,True
250,5,10,0,1.0,1.0,1.0,1.0,0.0,True,True,True
251,5,11,0,1.0,1.0,1.0,1.0,0.0,True,True,True
